First Name,Last Name,Email,Phone No,Gender,DOB,Address 1,Address 2,Pincode,State,Country
Rahul,Kumar,rahulk@email.com,98765-43210,Male,1990-03-25,123 Ganga Nagar,Apartment 5,110011,Delhi,India
Priya,Sharma,priyash@email.com,98765-10987,Female,1995-08-12,456 Yamuna Vihar,Suite 8,201301,Uttar Pradesh,India
Amit,Patel,amitp@email.com,98765-87654,Male,1985-11-20,789 Sabarmati Nagar,Flat 12,380002,Gujarat,India
Sonia,Reddy,soniar@email.com,98765-32109,Female,1980-06-05,101 Krishna Enclave,Apartment 7,500034,Telangana,India
Vikas,Singh,vikass@email.com,98765-65432,Male,1992-09-15,202 Gomti Vihar,Suite 3,226001,Uttar Pradesh,India
Aishwarya,Chopra,aishc@email.com,98765-21098,Female,1988-04-28,303 Yamuna Expressway,Flat 15,411001,Maharashtra,India
Raj,Mishra,rajm@email.com,98765-54321,Male,1983-12-10,404 Vrindavan Residency,Suite 20,560001,Karnataka,India
Ananya,Gupta,ananyag@email.com,98765-09876,Female,1997-02-22,505 Varanasi Heights,Apartment 6,600002,Tamil Nadu,India
Sanjay,Khanna,sanjayk@email.com,98765-76543,Male,1989-07-08,606 Jodhpur Park,Flat 10,700027,West Bengal,India
Pooja,Verma,poojav@email.com,98765-43210,Female,1981-05-18,707 Noida Gardens,Suite 2,201301,Uttar Pradesh,India
Rahul,Kumar,rahulk@email.com,,Female,1980-06-05,101 Krishna Enclave,Apartment 7,500034,Telangana,India
Priya,Sharma,priyash@email.com,,Male,1992-09-15,202 Gomti Vihar,Suite 3,226001,Uttar Pradesh,India
